;DOY;Lake_Height;Discharge_in;Discharge_out;Prec;Air_T;Rad
210;210;429,3945417;3,098541667;4,41675;0;21,075;284,9166667
211;211;429,3990833;2,955541667;1,013958333;0;23,05833333;320,7083333
212;212;429,404875;2,852208333;2,258291667;0,3;22,52916667;233,0833333
213;213;429,4217917;6,004916667;10,1365;4,3;19,99583333;123
214;214;429,4085417;5,592416667;11,34045833;0;19,7375;258,1666667
215;215;429,402;3,773208333;6,05125;0;20,72083333;184,2916667
216;216;429,39175;3,319583333;6,398916667;0;23,03333333;308,5416667
217;217;429,38975;4,105875;7,138375;10,2;19,425;174,75
218;218;429,4147917;12,18345833;14,04183333;1,4;16,1;141,4166667
219;219;429,4105;6,044541667;10,05666667;0;17,79583333;261,5833333
220;220;429,3974583;4,337125;8,349791667;0;20,71666667;312,625
221;221;429,388375;3,626083333;4,719958333;0;21,29166667;291,9583333
222;222;429,3821667;3,267375;8,05175;0,1;17,61666667;95,91666667
223;223;429,3715417;3,623416667;5,630708333;0;15,86666667;287,4583333
224;224;429,3588333;2,945583333;3,001333333;0;16,16666667;297,5
225;225;429,3703333;2,713625;0,478;0;19,52083333;272,0416667
226;226;429,3814583;2,565375;-0,290875;0;20,55833333;294,75
227;227;429,3809583;2,440541667;5,642458333;0;22,98333333;287,9166667
228;228;429,3747083;2,397625;3,503833333;0;22,5125;228,9166667
229;229;429,3688333;2,515041667;3,477083333;0;22,82916667;261,2916667
230;230;429,36625;2,721833333;4,834083333;0,2;20,94166667;232,625
231;231;429,3779167;2,645375;0,782875;3,9;18,72083333;96,58333333
232;232;429,3930417;2,918458333;3,283666667;0,4;19,84166667;232,5833333
233;233;429,4144167;2,920833333;-2,095875;9,7;17,92916667;38,41666667
234;234;429,430125;3,710291667;1,401291667;1;17,09583333;239,875
235;235;429,4270833;2,643625;4,104041667;0;18,05416667;281
236;236;429,4234583;2,311541667;3,005458333;0;21,9875;280,0416667
237;237;429,42175;2,152625;3,374541667;0;22,6625;274,5
238;238;429,4202917;2,039875;2,654791667;0;23,82083333;268,5
239;239;429,4232917;1,945083333;1,829625;0;25,07916667;267,5416667
240;240;429,4194167;1,810958333;3,291833333;0;25,04583333;263,3333333
241;241;429,410625;1,889666667;4,000125;0;25,55833333;230,2083333
242;242;429,39675;1,974416667;3,469791667;0,4;21,5875;129,4166667
243;243;429,3806667;1,951916667;8,630125;0;21,75;246,6666667
244;244;429,3722917;2,024541667;2,885125;0;20,79583333;211,5833333
245;245;429,3585833;2,064833333;3,415333333;0;21,2625;249,6666667
246;246;429,35225;1,938875;5,85;0;21,3875;242,0833333
247;247;429,339875;1,753291667;4,032083333;0;21,19583333;216,875
248;248;429,3327083;1,901;3,556;7,9;18,60833333;98,66666667
249;249;429,345;4,976;8,917333333;13,1;17,07916667;73,25
250;250;429,3507083;3,467791667;1,687208333;0;18,32916667;253,625
251;251;429,37175;2,424916667;-3,205583333;0;18,9375;243,875
252;252;429,379;2,105583333;4,584041667;0;21,32916667;238,5416667
253;253;429,3733333;1,939541667;5,622625;0;21,60416667;233,625
254;254;429,36075;1,817333333;5,15975;0;21,15416667;227,125
255;255;429,3392083;1,768916667;8,148125;0;21,70833333;202,875
256;256;429,3186667;1,789958333;7,879666667;0;21,10833333;155,2916667
257;257;429,2974167;1,800416667;6,336208333;0;21,80416667;221,5416667
258;258;429,2757917;1,785958333;5,954625;0;22,35;193,4583333
259;259;429,2700417;1,910916667;4,936958333;4;17,83333333;50,70833333
260;260;429,2636667;3,986708333;8,924333333;6,7;14,6;58,91666667
261;261;429,2521667;5,853666667;8,962041667;1,4;14,03333333;48,20833333
262;262;429,2470833;5,739583333;9,047625;12,7;13,375;47,08333333
263;263;429,250125;7,832625;11,89995833;0;14,86666667;104,0416667
264;264;429,237;4,336208333;6,682125;0;14,89166667;151,9583333
265;265;429,2207917;3,142083333;9,05725;0;14,18333333;183
266;266;429,218375;2,629625;3,031875;0;13,40833333;186
267;267;429,211375;2,293541667;3,422833333;0;15,0125;160,0416667
268;268;429,207125;2,067708333;5,299208333;0;14,94583333;200,375
269;269;429,205375;1,936916667;4,225625;0,8;16,3875;179,7916667
270;270;429,19575;1,84525;5,19325;0;17,07916667;161,6666667
271;271;429,1910833;1,7975;4,627375;0;17,04583333;174,8333333
272;272;429,1850417;1,760958333;3,8345;0;15,5625;163,7916667
273;273;429,1831667;1,701791667;3,634708333;0;17,5625;186
274;274;429,1819167;1,605333333;4,431166667;0;18,30833333;185,375
275;275;429,17575;1,736708333;1,785666667;4,5;14,60416667;41,83333333
276;276;429,1882917;2,76275;3,847166667;2,7;13,64166667;153,7083333
277;277;429,172875;2,417291667;7,0335;0;11,8625;190,9583333
278;278;429,1575417;1,832166667;7,678541667;0;12,47083333;185,7916667
279;279;429,1400833;1,73225;3,876791667;0;10,3;112,0416667
280;280;429,1278333;1,687791667;3,932375;0;8,854166667;174,25
281;281;429,1321667;1,6725;1,834916667;0;9,629166667;126,2083333
282;282;429,1267917;1,6805;5,498916667;0,5;9,229166667;36,75
283;283;429,1207083;1,681291667;3,835916667;0,9;6,904166667;87,375
284;284;429,1144583;1,691541667;3,446208333;0;7,233333333;141,5416667
285;285;429,114125;1,699208333;2,840083333;0;7,841666667;85,58333333
286;286;429,111875;1,72425;3,798791667;0;7,370833333;162,5416667
287;287;429,1107917;1,922625;3,66125;7,6;6,495833333;30,58333333
